,Sex,Job,Housing,Savings account,Checking account,Purpose
742,male,2,own,unknown,unknown,radio/TV
743,male,2,own,quite rich,little,furniture/equipment
744,male,3,own,unknown,little,furniture/equipment
745,male,1,own,little,little,business
746,female,2,rent,little,little,car
747,female,1,own,little,little,car
748,male,2,own,unknown,unknown,car
749,male,2,own,little,unknown,car
750,female,2,own,little,little,furniture/equipment
751,female,1,own,little,little,car
752,female,1,rent,moderate,moderate,business
753,female,2,own,little,unknown,radio/TV
754,male,2,free,rich,unknown,repairs
755,female,2,rent,unknown,little,car
756,male,0,own,little,rich,car
757,male,2,free,unknown,rich,radio/TV
758,male,2,own,little,unknown,car
759,male,2,own,little,little,car
760,female,2,own,unknown,unknown,car
761,female,2,rent,little,little,furniture/equipment
762,male,1,own,little,little,radio/TV
763,male,3,free,unknown,unknown,car
764,male,2,own,moderate,unknown,car
765,male,1,own,little,moderate,radio/TV
766,male,1,own,little,little,furniture/equipment
767,female,2,rent,unknown,unknown,car
768,male,2,rent,little,moderate,furniture/equipment
769,male,1,own,little,unknown,radio/TV
770,female,2,rent,unknown,little,car
771,female,3,own,little,little,education
772,male,3,own,little,unknown,car
773,male,2,own,moderate,unknown,radio/TV
774,male,0,free,quite rich,rich,car
775,female,2,rent,unknown,little,car
776,male,2,own,little,unknown,car
777,female,2,own,little,little,radio/TV
778,male,3,own,rich,unknown,car
779,female,2,own,little,moderate,repairs
780,male,2,own,little,moderate,radio/TV
781,male,2,own,rich,unknown,car
782,male,1,own,little,moderate,education
783,female,1,own,moderate,moderate,car
784,male,3,own,unknown,moderate,car
785,male,1,own,rich,moderate,business
786,male,2,own,quite rich,unknown,radio/TV
787,male,2,own,unknown,unknown,car
788,male,2,free,little,moderate,education
789,male,2,own,little,little,education
790,female,2,own,little,moderate,business
791,male,3,own,unknown,unknown,car
792,male,2,own,unknown,unknown,furniture/equipment
793,male,2,free,little,rich,furniture/equipment
794,male,2,rent,quite rich,unknown,furniture/equipment
795,female,2,rent,moderate,unknown,furniture/equipment
796,male,2,free,unknown,little,car
797,female,1,rent,little,unknown,furniture/equipment
798,male,2,own,unknown,unknown,car
799,male,0,own,unknown,moderate,car
800,male,2,free,little,unknown,education
801,female,1,rent,little,moderate,radio/TV
802,female,2,own,little,little,furniture/equipment
803,male,2,own,unknown,unknown,radio/TV
804,female,0,rent,unknown,moderate,car
805,male,2,own,little,little,car
806,male,1,own,little,moderate,radio/TV
807,male,2,own,unknown,unknown,radio/TV
808,male,3,free,little,moderate,car
809,female,0,rent,little,moderate,car
810,male,2,own,little,moderate,business
811,male,1,own,little,moderate,radio/TV
812,male,2,own,little,little,car
813,male,2,own,little,little,domestic appliances
814,male,2,free,little,little,car
815,female,2,rent,little,moderate,car
816,male,2,own,quite rich,unknown,domestic appliances
817,female,2,rent,little,unknown,radio/TV
818,male,3,own,little,little,vacation/others
819,male,2,own,little,little,radio/TV
820,male,2,own,little,unknown,car
821,male,2,own,little,rich,radio/TV
822,male,2,own,little,little,furniture/equipment
823,male,1,own,little,little,car
824,male,3,own,little,unknown,furniture/equipment
825,male,2,own,little,little,car
826,female,2,rent,little,little,car
827,male,2,own,little,unknown,business
828,male,2,free,unknown,little,car
829,male,2,free,unknown,moderate,business
830,male,2,own,quite rich,unknown,business
831,female,2,rent,little,little,car
832,male,2,rent,little,little,business
833,female,2,own,unknown,moderate,radio/TV
834,female,1,own,little,rich,radio/TV
835,male,2,own,little,little,car
836,female,2,own,unknown,unknown,radio/TV
837,female,1,rent,little,unknown,furniture/equipment
838,male,2,own,little,little,car
839,male,2,own,little,unknown,radio/TV
840,male,2,own,little,little,furniture/equipment
841,male,1,own,little,unknown,car
842,female,2,own,little,unknown,repairs
843,male,2,own,little,unknown,business
844,male,2,own,little,unknown,furniture/equipment
845,male,2,own,unknown,moderate,furniture/equipment
846,male,2,rent,unknown,unknown,car
847,male,2,own,little,unknown,car
848,male,2,own,little,little,radio/TV
849,male,1,own,little,little,radio/TV
850,male,2,rent,little,little,car
851,male,2,own,unknown,unknown,car
852,male,2,free,little,unknown,radio/TV
853,male,1,free,little,little,car
854,male,2,own,little,unknown,car
855,male,2,own,moderate,unknown,car
856,female,2,own,unknown,unknown,education
857,male,2,free,little,unknown,furniture/equipment
858,female,2,own,little,little,car
859,male,2,rent,moderate,unknown,car
860,male,2,own,rich,unknown,car
861,male,2,own,little,unknown,business
862,female,2,own,little,little,radio/TV
863,male,1,own,rich,unknown,furniture/equipment
864,male,1,rent,little,unknown,furniture/equipment
865,female,2,rent,quite rich,unknown,furniture/equipment
866,female,2,own,little,little,radio/TV
867,male,2,own,little,unknown,furniture/equipment
868,male,2,own,unknown,unknown,business
869,female,2,rent,little,little,furniture/equipment
870,female,2,own,quite rich,unknown,furniture/equipment
871,male,2,own,little,rich,car
872,male,2,own,moderate,little,business
873,female,2,own,unknown,unknown,domestic appliances
874,male,1,own,little,little,furniture/equipment
875,female,2,own,rich,moderate,car
876,male,3,free,little,little,radio/TV
877,male,2,own,little,unknown,radio/TV
878,male,3,free,little,little,car
879,male,2,own,unknown,unknown,radio/TV
880,male,3,own,little,unknown,car
881,male,2,free,unknown,unknown,car
882,male,2,own,unknown,moderate,car
883,female,0,own,little,unknown,radio/TV
884,male,2,own,little,moderate,furniture/equipment
885,female,2,own,little,little,education
886,male,2,own,unknown,moderate,business
887,male,2,own,little,moderate,business
888,male,3,own,little,unknown,car
889,male,2,rent,unknown,unknown,car
890,male,3,own,little,little,business
891,male,2,own,little,unknown,radio/TV
892,male,1,own,little,little,car
893,male,2,own,little,moderate,car
894,male,2,own,unknown,unknown,radio/TV
895,male,3,own,unknown,unknown,car
896,female,3,rent,little,little,radio/TV
897,female,2,own,rich,unknown,furniture/equipment
898,female,1,rent,unknown,unknown,furniture/equipment
899,male,2,own,little,little,furniture/equipment
900,male,2,rent,little,little,car
901,male,2,own,unknown,unknown,car
902,male,2,free,unknown,unknown,car
903,male,2,rent,unknown,unknown,radio/TV
904,male,3,own,little,unknown,radio/TV
905,male,3,rent,little,little,radio/TV
906,male,1,own,unknown,little,car
907,male,2,own,unknown,moderate,education
908,female,1,own,little,unknown,car
909,female,1,own,unknown,moderate,car
910,female,2,own,little,unknown,radio/TV
911,female,1,own,little,moderate,furniture/equipment
912,female,2,own,unknown,moderate,radio/TV
913,male,2,own,rich,unknown,business
914,male,2,rent,little,little,business
915,female,3,own,little,moderate,vacation/others
916,male,2,own,moderate,unknown,car
917,male,3,own,little,little,car
918,male,2,own,moderate,little,furniture/equipment
919,male,3,rent,little,little,furniture/equipment
920,female,2,own,little,unknown,furniture/equipment
921,male,3,own,quite rich,unknown,radio/TV
922,female,2,rent,little,little,radio/TV
923,male,2,rent,little,moderate,car
924,male,2,own,little,little,furniture/equipment
925,male,2,own,little,little,car
926,female,2,rent,little,little,furniture/equipment
927,male,2,free,little,little,car
928,male,2,own,unknown,unknown,radio/TV
929,male,1,own,little,little,car
930,male,1,own,little,little,furniture/equipment
931,female,2,own,little,moderate,radio/TV
932,male,2,own,little,unknown,car
933,male,2,own,quite rich,unknown,radio/TV
934,female,2,own,little,little,radio/TV
935,male,3,own,moderate,moderate,radio/TV
936,female,1,own,little,rich,radio/TV
937,male,3,rent,little,moderate,radio/TV
938,male,2,free,little,moderate,education
939,male,3,own,unknown,unknown,car
940,male,3,own,unknown,unknown,car
941,male,1,own,little,unknown,car
942,male,2,own,unknown,unknown,furniture/equipment
943,male,1,own,little,unknown,car
944,female,2,rent,little,little,furniture/equipment
945,female,2,own,quite rich,moderate,car
946,male,2,free,quite rich,little,furniture/equipment
947,male,3,own,unknown,unknown,car
948,male,1,own,little,unknown,furniture/equipment
949,male,2,own,moderate,unknown,radio/TV
950,male,0,own,little,moderate,business
951,male,2,own,little,little,business
952,female,2,rent,quite rich,moderate,car
953,female,3,own,little,unknown,furniture/equipment
954,female,2,own,little,little,car
955,female,3,rent,rich,little,radio/TV
956,male,1,own,unknown,rich,radio/TV
957,male,1,own,little,moderate,radio/TV
958,male,1,own,little,little,car
959,male,2,free,moderate,moderate,furniture/equipment
960,male,2,rent,little,unknown,radio/TV
961,male,2,own,little,moderate,car
962,male,2,own,unknown,unknown,car
963,male,2,own,quite rich,unknown,radio/TV
964,male,1,own,little,moderate,repairs
965,female,2,own,unknown,moderate,radio/TV
966,male,1,own,quite rich,moderate,radio/TV
967,female,3,rent,little,unknown,radio/TV
968,male,2,rent,unknown,unknown,radio/TV
969,male,1,own,little,little,car
970,male,2,own,moderate,moderate,repairs
971,male,1,own,little,unknown,car
972,female,0,rent,little,little,car
973,male,2,rent,little,little,business
974,female,2,own,little,unknown,radio/TV
975,female,1,own,quite rich,rich,radio/TV
976,female,2,own,little,moderate,radio/TV
977,male,2,own,unknown,moderate,business
978,male,1,own,little,unknown,car
979,male,2,rent,moderate,moderate,car
980,male,2,own,little,moderate,furniture/equipment
981,male,3,rent,little,unknown,business
982,female,3,own,moderate,rich,car
983,male,2,own,little,little,car
984,male,1,own,little,unknown,furniture/equipment
985,female,2,rent,little,little,furniture/equipment
986,male,2,own,little,rich,business
987,female,2,own,moderate,unknown,radio/TV
988,male,3,free,little,little,car
989,male,1,own,little,moderate,radio/TV
990,male,1,own,unknown,unknown,education
991,male,1,own,moderate,unknown,radio/TV
992,male,1,rent,unknown,little,radio/TV
993,male,3,own,little,little,furniture/equipment
994,male,2,own,unknown,unknown,car
995,female,1,own,little,unknown,furniture/equipment
996,male,3,own,little,little,car
997,male,2,own,little,unknown,radio/TV
998,male,2,free,little,little,radio/TV
999,male,2,own,moderate,moderate,car
